Dates,Open
581,120.35
582,120.95
583,118.5
584,118.2
585,117.8
586,118
587,118.1
588,120
589,120
590,121.7
591,120.5
592,119.9
593,120
594,120
595,121
596,119.55
597,118
598,117.75
599,117
600,119
601,118.9
602,116.55
603,117
604,119.8
605,121.6
606,119.35
607,121
608,122.5
609,122.5
610,120.6
611,120.4
612,119
613,122.4
614,120.2
615,120.85
616,119.05
617,119.5
618,118
619,118.5
620,118.1
621,119.6
622,121
623,122.85
624,122
625,122
626,119.9
627,119.1
628,120
629,121.6
630,121.05
631,119.2
632,116.5
633,116
634,115.7
635,116
636,116.05
637,116.55
638,117.8
639,115.65
640,114.3
641,110
642,110.5
643,110
644,104.2
645,105
646,107.95
647,107.8
648,106.2
649,109
650,107.3
651,105
652,105.4
653,103
654,107.7
655,105.1
656,103.25
657,112.7
658,120.5
659,123
660,123.05
661,121.9
662,123.1
663,123.05
664,127.4
665,126.8
666,124.1
667,124.95
668,124.95
669,125.85
670,123.85
671,123.05
672,124.6
673,122.95
674,128
675,135
676,132.1
677,141.75
678,142.4
679,143.2
680,140.65
681,144.1
682,147.1
683,144
684,145.9
685,146.05
686,147
687,142.5
688,144.4
689,144.9
690,143
691,142
692,143.6
693,141.55
694,142.45
695,137.6
696,134.4
697,134.85
698,131.9
699,135.3
700,132.15
701,135.15
702,134.95
703,134.1
704,134
705,136.1
706,136.4
707,138.05
708,138
709,134.9
710,134.6
711,133
712,134.8
713,131.05
714,129.6
715,133.65
716,129.7
717,127.8
718,128
719,126.7
720,127.3
721,124.9
722,126.8
723,131.75
724,132
725,133.3
726,134
727,137
728,135.9
729,135.8
730,138.7
731,138.4
732,138.7
733,139.7
734,134.7
735,133.6
736,135
737,134.2
738,133
739,134.55
740,135
741,134
742,134.9
743,132.1
744,132.5
745,131.45
746,128.95
747,127.4
748,126.5
749,125
750,124.8
751,123.35
752,126.2
753,123.05
754,124
755,126.95
756,124.05
757,124.1
758,124.8
759,122
760,122.1
761,121.4
762,121.6
763,124.55
764,120.75
765,116.1
766,118.75
767,117.8
768,118.35
769,119.25
770,117.95
771,116.1
772,128.9
773,131.5
774,133.3
775,134.5
776,134.2
777,132.5
778,131.2
779,134.5
780,137.7
781,139.2
782,142
783,142.95
784,142
785,144.2
786,143.4
787,141.4
788,136
789,137.7
790,138.15
791,137.8
792,140.6
793,140.85
794,139.95
795,137
796,140.1
797,138.2
798,138.9
799,138.95
800,137.5
801,137
802,134.9
803,134.8
804,134.9
805,136.1
806,135.6
807,133.1
808,137.5
809,135.45
810,132.5
811,129.75
812,132
813,133.2
814,132.9
815,133.35
816,135.6
817,133.75
818,133.2
819,132.95
820,129.3
821,128.95
822,127.85
823,133.6
824,137
825,137.6
826,135
827,138.8
828,137.9
829,137.65
830,140.6
831,145
832,145.3
833,143.05
834,149.4
835,147.4
836,146.8
837,147.5
838,147
839,146.15
840,147.45
841,147.8
842,147.75
843,146.85
844,145.05
845,143.15
846,143.3
847,141.4
848,139
849,139
850,144.25
851,143.85
852,143.4
853,142.25
854,142.25
855,141.6
856,147.65
857,150.65
858,151
859,150.9
860,152.9
861,157.3
862,159.25
863,158.9
864,161.45
865,161.65
866,152.7
867,152.35
868,151.8
869,152.4
870,151.95
871,148.8
872,150.25
873,147.1
874,148.45
875,148.05
876,148
877,147.35
878,149.8
879,153.75
880,156.65
881,156.9
882,155.25
883,154.95
884,160.95
885,158.5
886,157.35
887,159.65
888,159.05
889,157.9
890,164
891,158.5
892,155.5
893,156.75
894,153.4
895,153.9
896,155.55
897,156
898,160.95
899,157.75
900,157.4
901,155.5
902,157.85
903,155.65
904,154.95
905,151.2
906,148.9
907,151.5
908,154.4
909,159.25
910,160.7
911,164
912,157.9
913,158.95
914,158.95
915,158.8
916,161
917,159.15
918,157.1
919,157.4
920,156.8
921,154.3
922,155
923,156.6
924,155.05
925,157.55
926,156.35
927,154.5
928,149.9
929,147.2
930,151.95
931,151.65
932,150.9
933,150.95
934,148.8
935,148.8
936,147.15
937,147.15
938,148.95
939,147.8
940,147.55
941,148.5
942,146.45
943,144.3
944,150.7
945,152.1
946,155.2
947,156
948,154
949,158.75
950,160.95
951,163.5
952,163.7
953,164.9
954,159.7
955,161.85
956,162.25
957,159.5
958,154.05
959,157.2
960,157
961,157.2
962,157.1
963,160.2
964,160.5
965,154.35
966,154.95
967,156.7
968,158.85
969,158.7
970,161.05
971,157.9
972,164.8
973,161
974,158.9
975,157.15
976,157
977,156.75
978,159.25
979,157.6
980,156.8
981,154.1
982,154.55
983,152.75
984,156.05
985,158.4
986,159.6
987,160.65
988,160.45
989,158
990,158.25
991,160
992,159.1
993,160
994,159
995,165.4
996,165.2
997,170.2
998,168
999,165.7
1000,160.05
1001,160.7
1002,167.05
1003,169
1004,168
1005,162.85
1006,163.5
1007,165.1
1008,163.05
1009,163.8
1010,154
1011,156.8
1012,153
1013,151.1
1014,153.4
1015,153.35
1016,154.4
1017,155.5
1018,158.5
1019,158.5
1020,156.55
1021,155.35
1022,152.2
1023,152.65
1024,153.1
1025,151.5
1026,150.7
1027,152.7
1028,153.6
1029,153.65
1030,154.1
1031,155.05
1032,152
1033,152.8
1034,155.95
1035,152.5
1036,156.2
1037,156.7
1038,159.5
1039,159.5
1040,161.5
1041,159.85
1042,157.25
1043,153.75
1044,152.35
1045,148.85
1046,154.8
1047,155.45
1048,158
1049,167.65
1050,168.1
1051,168.1
1052,175
1053,176.25
1054,173.35
1055,172.45
1056,168
1057,169
1058,166.3
1059,167.45
1060,166
1061,162.6
1062,164.6
1063,167
1064,166
1065,162.3
1066,170
1067,168.4
1068,175.8
1069,171.65
1070,173.85
1071,157
1072,154.3
1073,150
1074,148
1075,149.4
1076,150
1077,154.5
1078,157
1079,157.3
1080,158.5
1081,156
1082,154.5
1083,155.6
1084,152.95
1085,146
1086,146.35
1087,148
1088,147
1089,145.5
1090,145.8
1091,142.1
1092,145.05
1093,145.05
1094,147.05
1095,148.6
1096,149.45
1097,152.45
1098,153
1099,153
1100,156.5
1101,157.85
1102,156.95
1103,158.25
1104,151
1105,153.25
1106,153.85
1107,152.2
1108,155.1
1109,152.75
1110,149.3
1111,152
1112,154
1113,155
1114,151.45
1115,150
1116,142.85
1117,143
1118,144
1119,142.55
1120,143.15
1121,144.15
1122,143
1123,140.7
1124,143.2
1125,142.7
1126,142
1127,146
1128,146.05
1129,143.8
1130,143.9
1131,143.5
1132,141.5
1133,141.45
1134,136.8
1135,139.95
1136,140.15
1137,141.7
1138,143.2
1139,142.75
1140,141.25
1141,139.35
1142,140.35
1143,139.1
1144,140.55
1145,141.55
1146,144
1147,145.3
1148,144.2
1149,144.35
1150,142.45
1151,144.3
1152,143.15
1153,141.2
1154,140.85
1155,141.35
1156,141.8
1157,140
1158,140.9
1159,143
1160,147.25
1161,149.05
1162,148.35
1163,148.5
1164,146.25
1165,149.5
1166,152.25
1167,152.85
1168,153.05
1169,156.1
1170,158.05
1171,157.4
1172,157.1
1173,157
1174,156.95
1175,154.45
1176,160.5
1177,160.85
1178,159.5
1179,158.55
1180,160.8
1181,159
1182,155.4
1183,154.5
1184,147.2
1185,148.55
1186,145.3
1187,144.1
1188,145.25
1189,146
1190,146.8
1191,147.95
1192,146.75
1193,149.1
1194,146.8
1195,147.6
1196,146.5
1197,149
1198,149.2
1199,148
1200,145
1201,146.3
1202,142
1203,142.55
1204,144.35
1205,145.1
1206,146.25
1207,149
1208,142.5
1209,146.05
1210,155
1211,157.1
1212,160.4
1213,160.2
1214,164.4
1215,167.7
1216,168.5
1217,168
1218,164
1219,165
1220,163
1221,163.3
1222,164
1223,166.2
1224,159
1225,162.1
1226,160.4
1227,164.5
1228,163.2
1229,159.1
1230,160
1231,160.85
1232,161.15
1233,156
1234,155.7
1235,157
