Dates,Open
1,208
2,217
3,223.5
4,230
5,234.55
6,234.05
7,234.55
8,240
9,233.3
10,233.55
11,235
12,235.95
13,237.9
14,233.15
15,223.45
16,216.35
17,222.5
18,222.5
19,221
20,224
21,222
22,238.2
23,236
24,237
25,235.35
26,233.85
27,237
28,231.8
29,234.5
30,240.3
31,246.9
32,244
33,240.8
34,236.05
35,235
36,233
37,237.3
38,236.65
39,237.25
40,241
41,235.15
42,236
43,232.5
44,248.7
45,243.4
46,243.7
47,241
48,235.9
49,248.5
50,244
51,238.9
52,231.25
53,239.7
54,248.4
55,241.55
56,257.9
57,265
58,270.4
59,274.8
60,275.9
61,268.25
62,269.8
63,277.45
64,281
65,264.5
66,271
67,262.7
68,263
69,265.1
70,264.8
71,260.1
72,257.9
73,258.05
74,263.7
75,274.65
76,271.55
77,279.15
78,269.8
79,267
80,262.75
81,265.6
82,263.7
83,266.9
84,262.75
85,255.5
86,265
87,269.7
88,267
89,254
90,257.4
91,254.7
92,252.2
93,251
94,246.5
95,244
96,244.1
97,248.3
98,243.5
99,240
100,256.45
101,280
102,284.4
103,292.95
104,289.6
105,296
106,288.8
107,287.05
108,292.75
109,297.4
110,293.9
111,293.45
112,292.5
113,283.05
114,283
115,287.7
116,285.95
117,286
118,282.3
119,282
120,274
121,274
122,273.9
123,276.1
124,280.2
125,275
126,274.8
127,274.55
128,276.7
129,276
130,259.35
131,261.25
132,264
133,258.05
134,251.05
135,264.65
136,265.3
137,259.7
138,272.6
139,280.8
140,278
141,275.25
142,278.05
143,270
144,275.9
145,270.5
146,272
147,276.7
148,274.8
149,275
150,273
151,275
152,273.55
153,264.2
154,265.95
155,265
156,268.7
157,277
158,280.25
159,284.35
160,287.95
161,282.4
162,271.1
163,282
164,270
165,259
166,265.1
167,284
168,290.25
169,302.9
170,300.95
171,305.25
172,304
173,306
174,310.7
175,307.05
176,306
177,315.05
178,313.85
179,323
180,327.7
181,315.05
182,314
183,315
184,317.6
185,314.65
186,312.3
187,312
188,311.9
189,314.3
190,317.75
191,308.05
192,306.5
193,305.5
194,303.7
195,301
196,302.25
197,301
198,292
199,280
200,289
201,288
202,290
203,298.6
204,290
205,287.55
206,276
207,278.9
208,279.4
209,285
210,288.45
211,278.9
212,287.3
213,277
214,277.5
215,275.05
216,273.15
217,273.5
218,275.9
219,261.15
220,252.25
221,254
222,237.9
223,234.7
224,236.3
225,240.7
226,225.8
227,226
228,235
229,224.9
230,227
231,227.9
232,226.95
233,226.95
234,225
235,211.3
236,204.95
237,211
238,204
239,205.5
240,207.9
241,211.45
242,210.4
243,210.3
244,211
245,211
246,209.45
247,209.5
248,209.65
249,210
250,204.95
251,207.3
252,207.25
253,204.5
254,199.05
255,206.5
256,196
257,201.45
258,211
259,214
260,216.4
261,213
262,212.65
263,211
264,208.5
265,214.65
266,212
267,209.2
268,206.1
269,207.95
270,195.1
271,194.3
272,198
273,198.25
274,198.5
275,193
276,192.95
277,195
278,197.3
279,191.5
280,197.15
281,196.65
282,189.8
283,194
284,182.5
285,166
286,155.1
287,161.85
288,165.5
289,171.8
290,167
291,164.7
292,165.95
293,168
294,171
295,169.5
296,167.9
297,173.85
298,172
299,170.5
300,172.2
301,171.9
302,175.4
303,173.8
304,176.1
305,174.25
306,175.9
307,175.35
308,171.05
309,167.05
310,159
